Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
linear/write/Map,2.3055790740037272e-4,2.2961694569958787e-4,2.319504360446854e-4,3.927701186817851e-6,2.8916222340051325e-6,5.334284519419148e-6
linear/write/Cache-16384,4.026872430566216e-5,4.0019197805389375e-5,4.0591010462580134e-5,9.494377318050488e-7,7.361784115968759e-7,1.1547471124285677e-6
linear/write/BArrayMap,7.221063499320728e-5,7.191759449451549e-5,7.255883041552873e-5,1.0903143963144422e-6,8.662907153335344e-7,1.3791046026857158e-6
linear/write/UArrayMap,6.538422258399976e-5,6.494622909546388e-5,6.601635538853852e-5,1.7387411289412983e-6,1.139846552207864e-6,2.8613447213791145e-6
linear/write/BChunkStore,8.561404244723816e-5,8.52334040539079e-5,8.623716761952873e-5,1.6344994068431999e-6,9.192347669616338e-7,2.7625728745488626e-6
linear/write/UChunkStore,7.576352384147824e-5,7.550497394498335e-5,7.619721351527216e-5,1.1132672033536643e-6,7.480753732101958e-7,1.8930680953568737e-6
linear/write/BSparseStore,9.666992895930403e-5,9.636137153423046e-5,9.747091253705238e-5,1.522535973000255e-6,6.923861258622233e-7,2.954722797331556e-6
linear/write/USparseStore,1.0870491719832245e-4,1.0842573174979478e-4,1.0913313377828936e-4,1.137263085771531e-6,7.935684406718979e-7,1.7329583325834905e-6
linear/write/BArrayMap-32B,8.324209330011416e-5,8.294614882818489e-5,8.362998616656434e-5,1.1499051005068426e-6,9.291051002474102e-7,1.445227661089658e-6
linear/write/UArrayMap-32B,9.079577749684037e-5,9.050072099629002e-5,9.11951466390002e-5,1.1959897292756704e-6,9.341303955322674e-7,1.567338177350127e-6
linear/write/BSparseStore-32B,1.2298514671918255e-4,1.2125486633744345e-4,1.2467059783297427e-4,5.5036199732368715e-6,4.756071415224883e-6,6.443105020211086e-6
linear/write/USparseStore-32B,1.4301486023937134e-4,1.4209304057092505e-4,1.439171940933268e-4,3.181988259257918e-6,2.6879787806177073e-6,3.831038807160343e-6
linear/write/BArrayMap-64B,1.020080607274196e-4,1.0080272519408865e-4,1.0340199081169795e-4,4.610447999561764e-6,3.9003210094755065e-6,5.536915482162679e-6
linear/write/UArrayMap-64B,1.1855138792018909e-4,1.1785112925912064e-4,1.1930771864418789e-4,2.3706927133334787e-6,1.9510964094705876e-6,2.986431719937227e-6
linear/write/BSparseStore-64B,1.4394962309384184e-4,1.429400368920505e-4,1.4555287360940605e-4,4.368041819530957e-6,2.989533650203891e-6,7.1202363384939374e-6
linear/write/USparseStore-64B,1.659236662442199e-4,1.6508016196856092e-4,1.6696743911503707e-4,3.1301203978080433e-6,2.6837251961496256e-6,3.970883399956037e-6
linear/read/Map,3.9611059525392956e-4,3.943761284966076e-4,3.9877120201597786e-4,7.133477177606525e-6,5.423606394255805e-6,9.297678520402315e-6
linear/read/Cache-16384,1.2337881357995937e-4,1.224282771504993e-4,1.2439886877615454e-4,3.2761009481892855e-6,2.7457316072956092e-6,3.91388513296342e-6
linear/read/BArrayMap,1.226498726737432e-4,1.2157761943755e-4,1.2382853791545521e-4,3.817408804185557e-6,3.272301846137988e-6,4.477997357273978e-6
linear/read/UArrayMap,2.3240625745365396e-5,2.3090674127494316e-5,2.3388254737471633e-5,5.053306721485055e-7,4.440910035495192e-7,6.096262504922797e-7
linear/read/BChunkStore,2.2113352611674656e-4,2.1962902470471963e-4,2.2251878899799576e-4,4.869762649978895e-6,3.977596750292965e-6,6.1138685607026235e-6
linear/read/UChunkStore,2.4928637602951296e-4,2.480662766291512e-4,2.5045059974633033e-4,4.0842997465316755e-6,3.362006000683508e-6,5.110242710502393e-6
linear/read/BSparseStore,1.2935135737231408e-4,1.2856377076936386e-4,1.3034156552662536e-4,2.9263665167059517e-6,2.4773224123556026e-6,3.802192922112706e-6
linear/read/USparseStore,3.811002487296908e-5,3.7929630105927405e-5,3.8360382733863894e-5,7.225650722085153e-7,5.335320294852362e-7,1.1574458509789935e-6
linear/read/BArrayMap-32B,1.3592227697087475e-4,1.355414724475666e-4,1.366880005292745e-4,1.7914254725893068e-6,9.74006679949839e-7,3.2084241368967906e-6
linear/read/UArrayMap-32B,1.3261693743514162e-4,1.3165992034900424e-4,1.3386878491570853e-4,3.6120031149443443e-6,2.811076812489239e-6,4.603783815469968e-6
linear/read/BSparseStore-32B,1.4125848193333223e-4,1.4047775683405643e-4,1.4224110569926302e-4,3.0037661927942206e-6,2.3631714307794944e-6,4.055622347641545e-6
linear/read/USparseStore-32B,1.4120158117910257e-4,1.4083378272546987e-4,1.4175479737013548e-4,1.5054876201997871e-6,1.080964231068403e-6,2.131658475515411e-6
linear/read/BArrayMap-64B,1.3363201200393887e-4,1.332275120858892e-4,1.342694990873319e-4,1.7124505844398011e-6,1.1901296193811956e-6,2.4050656400129693e-6
linear/read/UArrayMap-64B,1.309574055628182e-4,1.3018621037776422e-4,1.315511925459372e-4,2.362917396010013e-6,1.8296411500352823e-6,3.184233995272048e-6
linear/read/BSparseStore-64B,1.4229570712290525e-4,1.4180872711901622e-4,1.4302985873695514e-4,1.9187666003265114e-6,1.4767401216111948e-6,2.4904508790510294e-6
linear/read/USparseStore-64B,1.3961741353158113e-4,1.3816506139540717e-4,1.4140972907375092e-4,5.286559644793304e-6,4.4636835889632835e-6,6.444477734719982e-6
chunked/write/Map,2.3824128195157066e-4,2.3660774421931018e-4,2.4024560251323048e-4,6.2456381046345676e-6,4.863591626953006e-6,7.813697946254977e-6
chunked/write/Cache-16384,1.7225581511600302e-4,1.714419441442553e-4,1.732614828526694e-4,3.1036438349264184e-6,2.3997719181965344e-6,4.285855862278098e-6
chunked/write/BArrayMap,1.6392989650762014e-4,1.6344480909025503e-4,1.6443661890998732e-4,1.6270180746637094e-6,1.368533787787736e-6,2.054855491065299e-6
chunked/write/UArrayMap,7.493573407622548e-5,7.45979420642035e-5,7.524714349527405e-5,1.1323095730029867e-6,9.110832651230113e-7,1.4404997757217368e-6
chunked/write/BChunkStore,8.520660109347279e-5,8.488181763163739e-5,8.558161512367383e-5,1.1201822000442413e-6,9.257090342362214e-7,1.341486748256532e-6
chunked/write/UChunkStore,7.516774454523449e-5,7.498013903430641e-5,7.544600340242642e-5,7.676049989001996e-7,5.457953965030496e-7,1.1000278512156247e-6
