Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
linear/first-store/Map-first,4.548505217942166e-4,4.53007140932901e-4,4.575692238307019e-4,7.600857175518531e-6,5.907644825342504e-6,1.0406852097526448e-5
linear/first-store/Cache-first,7.783968391692334e-5,7.763887733114015e-5,7.802962880129156e-5,6.457187584894022e-7,5.454207884189244e-7,8.07729552308486e-7
linear/first-store/Array-first,7.201118444717325e-5,7.185317880235005e-5,7.226069490245268e-5,6.498720588826307e-7,4.54338974237746e-7,1.0560992329330946e-6
linear/first-store/Chunk-first,1.8247189301027363e-4,1.819961818645449e-4,1.8338056910731569e-4,2.215300243355348e-6,1.2479828441280803e-6,3.92420629959837e-6
linear/first-store/Sparse-first,8.843539608528454e-5,8.820305677441969e-5,8.871098308438185e-5,8.878164112924938e-7,7.000616270456156e-7,1.2955030038029088e-6
shuffled/first-store/Map-first,4.5555173564650763e-4,4.531973226909478e-4,4.5843347986920265e-4,8.823234321281159e-6,7.664879315095148e-6,1.0511219735808565e-5
shuffled/first-store/Cache-first,7.832479703756178e-5,7.801087366838955e-5,7.866824055727524e-5,1.1470721961594736e-6,9.588128090976773e-7,1.4566049154165328e-6
shuffled/first-store/Array-first,7.143478553485431e-5,7.118826060764118e-5,7.167917379304262e-5,8.179878006494064e-7,7.134629015673729e-7,9.736078275257927e-7
shuffled/first-store/Chunk-first,1.760881633546716e-4,1.7503300816434382e-4,1.7721447303732608e-4,3.7012506835780906e-6,3.1157983048093168e-6,4.5887975011290516e-6
shuffled/first-store/Sparse-first,8.486243385484466e-5,8.456167345487167e-5,8.519812395005904e-5,1.0858768930879087e-6,9.377571660894726e-7,1.4880592783352218e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
linear/read/Map-first,4.0896873117863414e-4,4.062103702984485e-4,4.1223527478648973e-4,9.989256696165653e-6,8.018003935731239e-6,1.2104513637980382e-5
linear/read/Cache-first,7.471870500102597e-5,7.445441058091249e-5,7.518268131150633e-5,1.204379015945987e-6,7.438656333747305e-7,2.140348384375009e-6
linear/read/Array-first,6.873618458495863e-5,6.841923262959775e-5,6.929033547130356e-5,1.3685082719348996e-6,9.149539318576297e-7,1.8881426080853644e-6
linear/read/Chunk-first,1.7544136673558076e-4,1.7457898048561568e-4,1.7633157539866036e-4,2.8162070075204593e-6,2.446479230825958e-6,3.2730910573903663e-6
linear/read/Sparse-first,8.545906529897813e-5,8.526785895213046e-5,8.576156485202198e-5,7.614687602887312e-7,5.51193730142513e-7,1.086144625764142e-6
linear/write/Map-first,4.5131864810551677e-4,4.4900726009183855e-4,4.5454013619433074e-4,8.999813046949483e-6,7.184450470614601e-6,1.1477574132990363e-5
linear/write/Cache-first,1.3787629009969139e-4,1.3737734989372624e-4,1.3858969265581275e-4,1.994766507403847e-6,1.3729606955731212e-6,2.9397230322203612e-6
linear/write/Array-first,1.3050838584708455e-4,1.3007950983958116e-4,1.3102259539295053e-4,1.5596274644021877e-6,1.2790051398124243e-6,1.902624733056408e-6
linear/write/Chunk-first,2.466489778911524e-4,2.454700514357413e-4,2.482211345487007e-4,4.430684739331874e-6,3.7669563071745783e-6,5.262238754640458e-6
linear/write/Sparse-first,1.4078755404409575e-4,1.4016871860920207e-4,1.4161595615089792e-4,2.438773877005237e-6,1.8421255247290363e-6,3.3239132574373076e-6
linear/write-self/Map,1.5376795346170704e-3,1.5252368501268345e-3,1.5530621146897274e-3,4.735585981681054e-5,4.082841534087705e-5,5.6341608109614715e-5
linear/write-self/Cache,7.720870065078523e-5,7.642756512134515e-5,7.796717555433772e-5,2.619912327162504e-6,2.3091928689323662e-6,2.9998654888658413e-6
linear/write-self/Array,9.31224998258324e-5,9.276835372201562e-5,9.344360530403025e-5,1.0589786847510223e-6,9.15638203562945e-7,1.2401629878541125e-6
linear/write-self/Chunk,2.5170978448239975e-4,2.497401347875883e-4,2.5391241432037214e-4,7.034107675335201e-6,5.527773049900475e-6,1.0466166617281064e-5
